,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
1479,DAÑOS,2021-08-30,2021,19:30,NOCHE,LUNES,JARDIN,CARRERA 1 CALLE 33-08,URBANA,TECNICO,3.5285,-76.27734,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PUBLICO,NO APLICA
1480,DAÑOS,2021-08-28,2021,09:20,MAÑANA,SABADO,ESTONIA,CARRERA 32 A CALLE 44,URBANA,TECNICO,3.53989,-76.30137,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,MAZDA,NO APLICA 2021,PARTICULAR,NO APLICA
1481,DAÑOS,2021-08-28,2021,09:20,MAÑANA,SABADO,ESTONIA,CARRERA 32 A CALLE 44,URBANA,TECNICO,3.53989,-76.30137,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMION,DODGE,NO APLICA 2021,PARTICULAR,NO APLICA
1482,DAÑOS,2021-08-28,2021,09:00,MAÑANA,SABADO,MANGOS,CARRERA 28  CALLE 70,URBANA,TECNICO,3.5573,-76.29127,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,RENAULT,NO APLICA 2021,PARTICULAR,NO APLICA
1483,DAÑOS,2021-08-28,2021,09:00,MAÑANA,SABADO,MANGOS,CARRERA 28  CALLE 70,URBANA,TECNICO,3.5573,-76.29127,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1484,DAÑOS,2021-08-29,2021,14:10,TARDE,DOMINGO,RECREO,CALLE 21 CARRERA 24,URBANA,TECNICO,3.519,-76.29587,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,BAJAJ,NO APLICA 2021,PARTICULAR,NO APLICA
1485,DAÑOS,2021-08-29,2021,14:10,TARDE,DOMINGO,RECREO,CALLE 21 CARRERA 24,URBANA,TECNICO,3.519,-76.29587,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,BICICLETA,SUZUKI,NO APLICA 2021,PARTICULAR,NO APLICA
1486,HERIDOS,2021-08-29,2021,17:20,TARDE,DOMINGO,CAHPINERO SUR,CARRERA 32 CALLE 8,URBANA,TECNICO,3.5099,-76.30743,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,SUZUKI,NO APLICA 2021,PARTICULAR,NO APLICA
1487,HERIDOS,2021-08-29,2021,17:20,TARDE,DOMINGO,CAHPINERO SUR,CARRERA 32 CALLE 8,URBANA,TECNICO,3.5099,-76.30743,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PARTICULAR,NO APLICA
1488,DAÑOS,2021-08-29,2021,17:40,TARDE,DOMINGO,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,3.52553,-76.29487,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,FORD,NO APLICA 2021,PARTICULAR,NO APLICA
1489,DAÑOS,2021-08-29,2021,17:40,TARDE,DOMINGO,TRINIDAD,CALLE 29 CARRERA 23,URBANA,TECNICO,3.52553,-76.29487,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,CAMPERO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
1490,MUERTO,2021-08-29,2021,05:15,MADRUGADA,DOMINGO,VIA PALMIRA CANDELARIA,KM 44 + 600 MTS,RURAL,POLICIA,3.48789,-76.32665,MOTOCICLISTA,NO APLICA,1,CHOQUE MURO,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,HERO,NO APLICA 2021,PARTICULAR,NO APLICA
1491,DAÑOS,2021-08-30,2021,01:20,MADRUGADA,LUNES,CENTRO,CALLE 28 CARRERA 32-37,URBANA,TECNICO,3.52584,-76.30277,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,SUZUKI,NO APLICA 2021,PARTICULAR,NO APLICA
1492,DAÑOS,2021-08-30,2021,01:20,MADRUGADA,LUNES,CENTRO,CALLE 28 CARRERA 32-37,URBANA,TECNICO,3.52584,-76.30277,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,NO APLICA,AUTOMOVIL,KIA,NO APLICA 2021,PARTICULAR,NO APLICA
1493,DAÑOS,2021-08-30,2021,06:30,MAÑANA,LUNES,SAMANES,CARRERA 28 CALLE 47,URBANA,TECNICO,3.54208,-76.2966,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,YAMAHA,NO APLICA 2021,PARTICULAR,NO APLICA
1494,DAÑOS,2021-08-30,2021,06:30,MAÑANA,LUNES,SAMANES,CARRERA 28 CALLE 47,URBANA,TECNICO,3.54208,-76.2966,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,HYUNDAI,NO APLICA 2021,PARTICULAR,NO APLICA
