,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_VICTIMA,TIPO_ACCIDENTE,GENERO,LESIONADO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA,HOMICIDIOS
399,HERIDOS,2022-02-27,2022,11:00,MAÑANA,DOMINGO,FRAY LUIS AMIGO,CALLE 42 CARRERA 47,URBANA,TECNICO,3.53837,-76.31842,ADELANTAR EN CURVA,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,IPS POSITIVA,MOTO,HONDA,PRADERA,PARTICULAR,NO APLICA,0
400,HERIDOS,2022-02-27,2022,19:15,NOCHE,DOMINGO,LA EMILIA,CALLE 36 CARRERA 37,URBANA,TECNICO,3.53375,-76.30737,DESOBEDESER SEÑAL,MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMIRA,MOTO,KYMCO,PALMIRA,PARTICULAR,NO APLICA,0
401,HERIDOS,2022-02-27,2022,19:15,NOCHE,DOMINGO,LA EMILIA,CALLE 36 CARRERA 37,URBANA,TECNICO,3.53375,-76.30737,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,JAC,PALMIRA,PARTICULAR,NO APLICA,0
402,HERIDOS,2022-02-27,2022,19:45,NOCHE,DOMINGO,CENTRO POBLADO AMAIME,CALLE 6 CARRERA 1A-213,RURAL,TECNICO,3.60658,-76.27565,PERDIDA DEL CONTROL DEL VEHICULO,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,MOTO,HONDA,FLORIDA,PARTICULAR,NO APLICA,0
403,DAÑOS,2022-03-02,2022,09:15,MAÑANA,MIERCOLES,LAS FLORES,CARRERA 2 CALLE 25,URBANA,TECNICO,3.52055,-76.2785,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,TOYOTA,CALI,PARTICULAR,NO APLICA,0
404,DAÑOS,2022-03-02,2022,09:15,MAÑANA,MIERCOLES,LAS FLORES,CARRERA 2 CALLE 25,URBANA,TECNICO,3.52055,-76.2785,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,0
405,DAÑOS,2022-03-02,2022,07:30,MAÑANA,MIERCOLES,SANTA RITA,CARRERA 28 CALLE 37A,URBANA,TECNICO,3.53422,-76.2978,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,BMW,CALI,PARTICULAR,NO APLICA,0
406,DAÑOS,2022-03-02,2022,07:30,MAÑANA,MIERCOLES,SANTA RITA,CARRERA 28 CALLE 37A,URBANA,TECNICO,3.53422,-76.2978,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,UNITED,GUACARI,PARTICULAR,NO APLICA,0
407,DAÑOS,2022-03-01,2022,17:30,TARDE,MARTES,COLOMBIA,CARRERA 33 CALLE 36-47,URBANA,TECNICO,3.53397,-76.3027,REVERSO IMPRUDENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,ENVIGADO,PARTICULAR,NO APLICA,0
408,DAÑOS,2022-03-01,2022,17:30,TARDE,MARTES,COLOMBIA,CARRERA 33 CALLE 36-47,URBANA,TECNICO,3.53397,-76.3027,REVERSO IMPRUDENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMION,JAC,GUACARI,PARTICULAR,NO APLICA,0
409,HERIDOS,2022-03-01,2022,18:50,NOCHE,MARTES,OBRERO,CARRERA 25 CALLE 34,URBANA,TECNICO,3.53077,-76.29568,PONER EN MARCHA VEHICULO SIN PRECAUCION,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PALMIRA,PUBLICO,NO APLICA,0
410,HERIDOS,2022-03-01,2022,18:50,NOCHE,MARTES,OBRERO,CARRERA 25 CALLE 34,URBANA,TECNICO,3.53077,-76.29568,PONER EN MARCHA VEHICULO SIN PRECAUCION,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,BICICLETA,NO APLICA,NO APLICA,PARTICULAR,NO APLICA,0
411,HERIDOS,2022-03-01,2022,18:50,NOCHE,MARTES,OBRERO,CARRERA 25 CALLE 34,URBANA,TECNICO,3.53077,-76.29568,PONER EN MARCHA VEHICULO SIN PRECAUCION,ACOMPAÑANTE CICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
412,HERIDOS,2022-03-01,2022,18:00,NOCHE,MARTES,INDUSTRIAL,CALLE 42 CARRERA 43-44,URBANA,TECNICO,3.53879,-76.31307,POR ESTABLECER,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,IPS POSITIVA,MOTO,HONDA,BOGOTA,PARTICULAR,NO APLICA,0
413,HERIDOS,2022-03-01,2022,18:00,NOCHE,MARTES,INDUSTRIAL,CALLE 42 CARRERA 43-44,URBANA,TECNICO,3.53879,-76.31307,POR ESTABLECER,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,IPS POSITIVA,MOTO,HONDA,PEREIRA,PARTICULAR,NO APLICA,0
414,DAÑOS,2022-03-03,2022,06:30,MAÑANA,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53874,-76.30652,ADELANTAR CERRANDO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,NISSAN,META,PARTICULAR,NO APLICA,0
415,DAÑOS,2022-03-03,2022,06:30,MAÑANA,JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.53874,-76.30652,ADELANTAR CERRANDO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMION,HYUNDAI,GUACARI,PUBLICO,NO APLICA,0
416,HERIDOS,2022-03-01,2022,11:10,MAÑANA,MARTES,SESQUI,CALLE 11 CARRERA 29,URBANA,TECNICO,3.51063,-76.30182,GIRAR BRUSCAMENTE,MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMIRA,MOTO,YAMAHA,PRADERA,PARTICULAR,NO APLICA,0
417,HERIDOS,2022-03-01,2022,11:10,MAÑANA,MARTES,SESQUI,CALLE 11 CARRERA 29,URBANA,TECNICO,3.51063,-76.30182,GIRAR BRUSCAMENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,SUZUKI,PALMIRA,PARTICULAR,NO APLICA,0
418,HERIDOS,2022-03-01,2022,15:30,TARDE,MARTES,PRADO,CALLE 42 CARRERA 45,URBANA,TECNICO,3.53884,-76.31468,GIRAR BRUSCAMENTE,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMA,MOTO,HONDA,PRADERA,PARTICULAR,NO APLICA,0
419,HERIDOS,2022-03-01,2022,15:30,TARDE,MARTES,PRADO,CALLE 42 CARRERA 45,URBANA,TECNICO,3.53884,-76.31468,GIRAR BRUSCAMENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,0
420,HERIDOS,2022-03-01,2022,15:30,TARDE,MARTES,PRADO,CALLE 42 CARRERA 45,URBANA,TECNICO,3.53884,-76.31468,GIRAR BRUSCAMENTE,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
421,DAÑOS,2022-02-28,2022,19:30,NOCHE,LUNES,SAN PEDRO,CALLE 42 CARRERA 19,URBANA,TECNICO,3.53706,-76.29064,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,FEMENINA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PARTICULAR,NO APLICA,0
422,DAÑOS,2022-02-28,2022,19:30,NOCHE,LUNES,SAN PEDRO,CALLE 42 CARRERA 19,URBANA,TECNICO,3.53706,-76.29064,NO MANTENER DISTANCIA SEGURIDAD,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,BAJAJ,PALMIRA,PARTICULAR,NO APLICA,0
423,HERIDOS,2022-02-28,2022,20:30,NOCHE,LUNES,CENTRO,CALLE 28 CARRERA 31,URBANA,TECNICO,3.52574,-76.30193,SEMAFORO EN ROJO,CONDUCTOR,CHOQUE,FEMENINA,LESIONADO,PALMIRA,AUTOMOVIL,CHEVROLET,EL CERRITO,PARTICULAR,NO APLICA,0
424,HERIDOS,2022-02-28,2022,20:30,NOCHE,LUNES,CENTRO,CALLE 28 CARRERA 31,URBANA,TECNICO,3.52574,-76.30193,SEMAFORO EN ROJO,ACOMPAÑANTE CONDUCTOR,CHOQUE,MASCULINO,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
425,HERIDOS,2022-02-28,2022,20:30,NOCHE,LUNES,CENTRO,CALLE 28 CARRERA 31,URBANA,TECNICO,3.52574,-76.30193,SEMAFORO EN ROJO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,PALMIRA,PUBLICO,FLOTA PALMIRA,0
426,DAÑOS,2022-03-02,2022,17:00,TARDE,MIERCOLES,CHAPINERO SUR,CARRERA 32 CALLE 6,URBANA,TECNICO,3.50661,-76.31288,FRENAR BRUSCAMENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,SUZUKI,CALI,PARTICULAR,NO APLICA,0
427,DAÑOS,2022-03-02,2022,17:00,TARDE,MIERCOLES,CHAPINERO SUR,CARRERA 32 CALLE 6,URBANA,TECNICO,3.50661,-76.31288,FRENAR BRUSCAMENTE,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,FORD,CALI,PARTICULAR,NO APLICA,0
428,HERIDOS,2022-03-02,2022,17:40,TARDE,MIERCOLES,COLOMBINA,CARRRA 16 CALLE 28,URBANA,TECNICO,3.52411,-76.289,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,CALI,PARTICULAR,NO APLICA,0
429,HERIDOS,2022-03-02,2022,17:40,TARDE,MIERCOLES,COLOMBINA,CARRRA 16 CALLE 28,URBANA,TECNICO,3.52411,-76.289,DESOBEDESER SEÑAL,MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMIRA,MOTO,HONDA,CERETE,PARTICULAR,NO APLICA,0
